Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1900,Paris,STAPLETON Frederick,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,COE Tom,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,LINDBERG Victor,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,FEYAERTS Fernand,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,COHEN Henri,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,DE BACKER Jean,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,DE BEHR Victor,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,GRÉGOIRE Oscar,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,MICHANT Albert,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,SONNEMANS Victor,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,SÉRON Guillaume,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,ROMAS Georges,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,UPTON A. R.,Male,BEL,Water Polo,Water Polo - Men,Silver
Summer,1900,Paris,PETIT Frédèric,Male,FRA,Archery,Au Chapelet 33 metres - Men,Bronze
Summer,1900,Paris,VAN INNIS Hubert,Male,BEL,Archery,Au Chapelet 33 metres - Men,Gold
Summer,1900,Paris,THIBAULT Victor,Male,FRA,Archery,Au Chapelet 33 metres - Men,Silver
Summer,1900,Paris,MERCIER Émile,Male,FRA,Archery,Au Chapelet 50 metres - Men,Bronze
Summer,1900,Paris,MOUGIN Eugène,Male,FRA,Archery,Au Chapelet 50 metres - Men,Gold
Summer,1900,Paris,HELLE Henri,Male,FRA,Archery,Au Chapelet 50 metres - Men,Silver
Summer,1900,Paris,PETIT Frédèric,Male,FRA,Archery,Au Cordon Dor 33 metres - Men,Bronze
Summer,1900,Paris,VAN INNIS Hubert,Male,BEL,Archery,Au Cordon Dor 33 metres - Men,Gold
Summer,1900,Paris,THIBAULT Victor,Male,FRA,Archery,Au Cordon Dor 33 metres - Men,Silver
Summer,1900,Paris,FISSEUX Émile,Male,FRA,Archery,Au Cordon Dor 50 metres - Men,Bronze
Summer,1900,Paris,HÉROUIN Henri,Male,FRA,Archery,Au Cordon Dor 50 metres - Men,Gold
Summer,1900,Paris,VAN INNIS Hubert,Male,BEL,Archery,Au Cordon Dor 50 metres - Men,Silver
Summer,1900,Paris,HÉROUIN Henri,Male,FRA,Archery,Championnat du Monde - Men,Gold
Summer,1900,Paris,VAN INNIS Hubert,Male,BEL,Archery,Championnat du Monde - Men,Silver
Summer,1900,Paris,FOULON Emmanuel,Male,BEL,Archery,Sur la Perche à la Herse - Men,Gold
Summer,1900,Paris,DRUART JR. ,Male,BEL,Archery,Sur la Perche à la Herse - Men,Silver
Summer,1900,Paris,SERRURIER Auguste,Male,FRA,Archery,Sur la Perche à la Herse - Men,Silver
Summer,1900,Paris,GLINEUR Louis,Male,BEL,Archery,Sur la Perche à la Pyramide - Men,Bronze
Summer,1900,Paris,GRUMIAUX Émile,Male,FRA,Archery,Sur la Perche à la Pyramide - Men,Gold
Summer,1900,Paris,SERRURIER Auguste,Male,FRA,Archery,Sur la Perche à la Pyramide - Men,Silver
Summer,1900,Paris,BRAY John,Male,USA,Athletics,1500 metres - Men,Bronze
Summer,1900,Paris,BENNETT Charles,Male,GBR,Athletics,1500 metres - Men,Gold
Summer,1900,Paris,DELOGE Henry,Male,FRA,Athletics,1500 metres - Men,Silver
Summer,1900,Paris,ROWLEY Stan,Male,AUS,Athletics,100 metres - Men,Bronze
Summer,1900,Paris,JARVIS Frank,Male,USA,Athletics,100 metres - Men,Gold
Summer,1900,Paris,TEWKSBURY Walter,Male,USA,Athletics,100 metres - Men,Silver
Summer,1900,Paris,MOLONEY Fred,Male,USA,Athletics,110 metres Hurdles - Men,Bronze
Summer,1900,Paris,KRAENZLEIN Al,Male,USA,Athletics,110 metres Hurdles - Men,Gold
Summer,1900,Paris,MCLEAN John,Male,USA,Athletics,110 metres Hurdles - Men,Silver
Summer,1900,Paris,CHASTANIÉ Jean,Male,FRA,Athletics,2500 metres Steeplechase - Men,Bronze
Summer,1900,Paris,ORTON George,Male,USA,Athletics,2500 metres Steeplechase - Men,Gold
Summer,1900,Paris,ROBINSON Sidney,Male,GBR,Athletics,2500 metres Steeplechase - Men,Silver
Summer,1900,Paris,ROWLEY Stan,Male,AUS,Athletics,200 metres - Men,Bronze
Summer,1900,Paris,TEWKSBURY Walter,Male,USA,Athletics,200 metres - Men,Gold
Summer,1900,Paris,PRITCHARD Norman,Male,IND,Athletics,200 metres - Men,Silver
Summer,1900,Paris,TEWKSBURY Walter,Male,USA,Athletics,200 metres Hurdles - Men,Bronze
Summer,1900,Paris,KRAENZLEIN Al,Male,USA,Athletics,200 metres Hurdles - Men,Gold
Summer,1900,Paris,PRITCHARD Norman,Male,IND,Athletics,200 metres Hurdles - Men,Silver
Summer,1900,Paris,ROBINSON Sidney,Male,GBR,Athletics,4000 metres Steeplechase - Men,Bronze
Summer,1900,Paris,RIMMER Jack,Male,GBR,Athletics,4000 metres Steeplechase - Men,Gold
Summer,1900,Paris,BENNETT Charles,Male,GBR,Athletics,4000 metres Steeplechase - Men,Silver
