NOC,Year,Efficiency
BDI,2011,0.2598315670752621
BDI,2012,0.2598315670752621
BDI,2013,0.2598315670752621
BDI,2014,0.2598315670752621
BDI,2015,0.2598315670752621
BDI,2016,0.2598315670752621
BDI,2017,0.2598315670752621
BDI,2018,0.2598315670752621
BDI,2019,0.2598315670752621
BDI,2020,0.2598315670752621
BDI,2021,0.2598315670752621
BDI,2022,0.2598315670752621
BDI,2023,0.2598315670752621
BDI,2024,0.2598315670752621
IRL,2005,1.773765309911572
IRL,2006,1.528716628878021
IRL,2007,1.2882481464673612
IRL,2008,1.0600019875249744
IRL,2009,0.851054571574541
IRL,2010,0.6675540097807904
IRL,2011,0.5144198122421644
IRL,2012,0.3951253574480358
IRL,2013,0.31157643216870046
IRL,2014,0.2640909738086332
IRL,2015,0.25147678577293586
IRL,2016,0.27119629005415913
IRL,2017,0.3196010640347735
IRL,2018,0.3922145262527428
IRL,2019,0.4840389924579669
IRL,2020,0.5898634605579796
IRL,2021,0.7045506952132099
IRL,2022,0.8232860607427144
IRL,2023,0.9417755480341481
IRL,2024,1.0563859499984396
BOL,2005,0.42588324888692347
BOL,2006,0.42588324888692347
BOL,2007,0.42588324888692347
BOL,2008,0.42588324888692347
BOL,2009,0.42588324888692347
BOL,2010,0.42588324888692347
BOL,2011,0.42588324888692347
BOL,2012,0.42588324888692347
BOL,2013,0.42588324888692347
BOL,2014,0.42588324888692347
BOL,2015,0.42588324888692347
BOL,2016,0.42588324888692347
BOL,2017,0.42588324888692347
BOL,2018,0.42588324888692347
BOL,2019,0.42588324888692347
BOL,2020,0.42588324888692347
BOL,2021,0.42588324888692347
BOL,2022,0.42588324888692347
BOL,2023,0.42588324888692347
BOL,2024,0.42588324888692347
BEL,2005,1.6777070061762271
BEL,2006,1.4425254439537192
BEL,2007,1.2139818518701324
BEL,2008,0.9995049064549912
BEL,2009,0.8058768290634102
BEL,2010,0.6388799529556881
BEL,2011,0.5030102006944734
BEL,2012,0.40127726169086775
BEL,2013,0.33510377235353617
BEL,2014,0.30432735171565395
BEL,2015,0.30730081196448666
BEL,2016,0.34107810749476664
BEL,2017,0.4016673503168444
BEL,2018,0.4843280439163584
BEL,2019,0.583887856317258
BEL,2020,0.6950547769761422
BEL,2021,0.8127031366427702
BEL,2022,0.9321162634656395
BEL,2023,1.0491739159152262
BEL,2024,1.160478432900543
GER,2005,1.6533424767106164
GER,2006,1.4173876082135501
GER,2007,1.1879809564229207
GER,2008,0.972573660326659
GER,2009,0.7779735416872182
GER,2010,0.6099905036946456
GER,2011,0.4731487101855716
GER,2012,0.37048542050084676
GER,2013,0.3034488714564725
GER,2014,0.2718991445440311
GER,2015,0.27420741207967203
GER,2016,0.3074411832264212
GER,2017,0.36761691371260885
GER,2018,0.4499971438162744
GER,2019,0.5494074743752007
GER,2020,0.6605491931968872
GER,2021,0.7782859815025283
GER,2022,0.8978874122435763
GER,2023,1.0152173134618214
GER,2024,1.1268608697070481
MOZ,2005,1.629583275424034
MOZ,2006,1.405306124767221
MOZ,2007,1.1853389004532104
MOZ,2008,0.9766279815069101
MOZ,2009,0.7855932371033614
MOZ,2010,0.6178012600602409
MOZ,2011,0.4776960792595535
MOZ,2012,0.3684055174875196
MOZ,2013,0.2916348295642699
MOZ,2014,0.24765184145543184
MOZ,2015,0.23536028126592434
MOZ,2016,0.25245110113363367
MOZ,2017,0.2956159865048251
MOZ,2018,0.360803413516507
MOZ,2019,0.4434958035120373
MOZ,2020,0.5389865576630148
MOZ,2021,0.6426378353602935
MOZ,2022,0.7501034897009724
MOZ,2023,0.8575060956777643
MOZ,2024,0.9615619557989481
KEN,2005,0.4779236066782596
KEN,2006,0.4698839529282711
KEN,2007,0.46004461682279846
KEN,2008,0.4486060965309503
KEN,2009,0.43583996971045763
KEN,2010,0.4220784944779078
KEN,2011,0.4077003445728108
KEN,2012,0.39311332633430474
KEN,2013,0.37873517642920773
KEN,2014,0.3649737011966579
KEN,2015,0.35220757437616523
KEN,2016,0.34076905408431707
KEN,2017,0.3309297179788444
KEN,2018,0.3228900642288559
KEN,2019,0.3167735106709555
KEN,2020,0.31262497665030164
KEN,2021,0.3104138849535941
KEN,2022,0.310041106747016
KEN,2023,0.31134911731801995
KEN,2024,0.31413445381401917
PAK,2005,0.25063702449508685
PAK,2006,0.25063702449508685
PAK,2007,0.25063702449508685
PAK,2008,0.25063702449508685
PAK,2009,0.25063702449508685
PAK,2010,0.25063702449508685
PAK,2011,0.25063702449508685
PAK,2012,0.25063702449508685
PAK,2013,0.25063702449508685
PAK,2014,0.25063702449508685
PAK,2015,0.25063702449508685
PAK,2016,0.25063702449508685
PAK,2017,0.25063702449508685
PAK,2018,0.25063702449508685
PAK,2019,0.25063702449508685
PAK,2020,0.25063702449508685
PAK,2021,0.25063702449508685
PAK,2022,0.25063702449508685
PAK,2023,0.25063702449508685
PAK,2024,0.25063702449508685
GUY,2005,0.32543465369907915
GUY,2006,0.32543465369907915
